"legis.names","mean.x","vars.x","party","session"
"郭政權",1.90572034571346,0.00131565408330385,"K","3rd Session"
"郭金生",1.6619240550191,0.00131565408330385,"K","3rd Session"
"鄭寶清",-2.69323785255082,0.00131565408330385,"D","3rd Session"
"鄭朝明",-2.74402569061722,0.00131565408330385,"D","3rd Session"
"鄭永金",2.18245011095075,0.00131565408330385,"K","3rd Session"
"鄭逢時",2.04108158325925,0.00131565408330385,"K","3rd Session"
"鄭龍水",-0.673854292219975,0.00131565408330385,"k2","3rd Session"
"錢達",-0.663215328532869,0.00131565408330385,"k2","3rd Session"
"鍾利德",1.88533857675944,0.00131565408330385,"K","3rd Session"
"陳一新",-0.603453259752143,0.00131565408330385,"k2","3rd Session"
"陳健民",2.09178064143056,0.00131565408330385,"K","3rd Session"
"陳傑儒",1.9034187357128,0.00131565408330385,"K","3rd Session"
"陳光復",-1.97206819792114,0.00131565408330385,"D","3rd Session"
"陳其邁",-2.69480769037781,0.00131565408330385,"D","3rd Session"
"陳宏昌",1.367378275501,0.00131565408330385,"K","3rd Session"
"陳定南",-2.76126939276004,0.00131565408330385,"D","3rd Session"
"陳志彬",0.756977390683796,0.00131565408330385,"K","3rd Session"
"陳文輝",-1.45879868550775,0.00131565408330385,"D","3rd Session"
"陳朝容",1.91566985666962,0.00131565408330385,"K","3rd Session"
"陳永興",-2.26102600782358,0.00131565408330385,"D","3rd Session"
"陳清寶",1.54568574508467,0.00131565408330385,"K","3rd Session"
"陳漢強",-0.641748267447821,0.00131565408330385,"k2","3rd Session"
"陳瓊讚",1.9318244805843,0.00131565408330385,"K","3rd Session"
"陳癸淼",-0.671821808566709,0.00131565408330385,"k2","3rd Session"
"陳鴻基",2.03314525685707,0.00131565408330385,"K","3rd Session"
"靳曾珍麗",2.198763992999,0.00131565408330385,"K","3rd Session"
"韓國瑜",2.04077129756098,0.00131565408330385,"K","3rd Session"
"章仁香",2.1201200215166,0.00131565408330385,"K","3rd Session"
